CAEMP25N Total full-time and part-time employment by NAICS industry 1/
CAEMP25N Total full-time and part-time employment by NAICS industry 1/
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2012
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",500,"      Manufacturing",(D)
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",600,"      Wholesale trade",15324
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",700,"      Retail trade",56339
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",800,"      Transportation and warehousing",14246
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",900,"      Information",9917
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1000,"      Finance and insurance",32690
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1100,"      Real estate and rental and leasing",18666
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1200,"      Professional, scientific, and technical services",42949
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1300,"      Management of companies and enterprises",(D)
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1400,"      Administrative and support and waste management and remediation services",(D)
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1500,"      Educational services",23362
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1600,"      Health care and social assistance",69070
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1700,"      Arts, entertainment, and recreation",11061
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1800,"      Accommodation and food services",33010
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1900,"      Other services (except government and government enterprises)",26456
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2000,"    Government and government enterprises",101486
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2001,"      Federal civilian",6657
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2002,"      Military",3337
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2010,"      State and local",91492
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2011,"        State government",48260
